Monitoring imports on 159 and 184...
184 import will be monitored after export PID 3193137 finishes.
[15:23:27] 184: running=True, files_left=147
[15:25:28] 184: running=True, files_left=143
[15:27:30] 184: running=True, files_left=139
[15:29:31] 184: running=True, files_left=136
[15:31:32] 184: running=True, files_left=133
[15:33:33] 184: running=True, files_left=129
[15:35:35] 184: running=True, files_left=122
[15:37:36] 184: running=True, files_left=116
[15:39:37] 184: running=True, files_left=110
[15:41:38] 184: running=True, files_left=104
[15:43:40] 184: running=True, files_left=99
[15:45:41] 184: running=True, files_left=93
[15:47:42] 184: running=True, files_left=88
[15:49:43] 184: running=True, files_left=82
[15:51:45] 184: running=True, files_left=77
[15:53:46] 184: running=True, files_left=72
[15:55:47] 184: running=True, files_left=66
  Error checking 132.72.81.184: No existing session
[16:03:11] 184: running=True, files_left=?
[16:05:13] 184: running=True, files_left=39
[16:07:14] 184: running=True, files_left=33
[16:09:16] 184: running=True, files_left=27
[16:11:17] 184: running=True, files_left=22
[16:13:45] 184: running=True, files_left=15
  Error checking 132.72.81.184: No existing session
[16:29:12] 184: running=True, files_left=?
  Error checking 132.72.81.184: No existing session
[16:35:21] 184: running=True, files_left=?
  Error checking 132.72.81.184: No existing session
[16:41:54] 184: running=True, files_left=?
  Error checking 132.72.81.184: No existing session
[16:50:13] 184: running=True, files_left=?
[16:53:05] 184: running=False, files_left=0
Email sent: Splunk import on 184 (132.72.81.184) COMPLETED
All imports finished.
